purchase_days_before_daprture,airline,baggage_weight,baggage_pieces,price
0,alpha,0.0,0,8739.0
4,beta,0.4444444444444444,0,10088.0
2,beta,0.4444444444444444,0,7350.0
12,beta,0.8888888888888888,0,9684.0
17,gamma,0.4444444444444444,1,7765.0
3,gamma,0.4444444444444444,2,13560.0
5,gamma,0.4444444444444444,1,10035.0
40,gamma,0.4444444444444444,1,6870.0
1,alpha,0.3333333333333333,1,9798.0
15,beta,0.4444444444444444,0,6820.0
11,omega,0.4444444444444444,1,7950.0
10,gamma,0.4444444444444444,1,9785.0
14,beta,0.8888888888888888,0,9190.0
3,gamma,0.4444444444444444,1,7390.0
6,alpha,0.3333333333333333,1,14945.0
19,gamma,0.4444444444444444,2,10655.0
19,beta,0.4444444444444444,0,6760.0
2,alpha,0.7777777777777778,1,22445.0
12,gamma,0.4444444444444444,2,7870.0
6,alpha,0.3333333333333333,1,9403.0
9,gamma,0.4444444444444444,1,7500.0
14,alpha,0.3333333333333333,1,18945.0
9,alpha,0.7777777777777778,1,10799.0
12,alpha,0.4444444444444444,1,12645.0
3,alpha,0.7777777777777778,1,11072.0
14,alpha,0.3333333333333333,1,9798.0
1,alpha,0.3333333333333333,1,14945.0
18,alpha,0.3333333333333333,1,9497.0
7,beta,0.8888888888888888,0,10920.0
31,alpha,0.7777777777777778,1,11072.0
21,alpha,0.3333333333333333,1,7502.0
19,beta,0.7777777777777778,0,9553.0
5,alpha,0.3333333333333333,1,12945.0
30,beta,0.4444444444444444,0,6344.0
3,beta,0.4444444444444444,0,9689.0
16,beta,0.8888888888888888,0,7895.0
16,beta,0.4444444444444444,0,7280.0
4,beta,0.8888888888888888,0,9290.0
8,gamma,0.4444444444444444,1,7765.0
0,gamma,0.4444444444444444,1,20120.0
11,alpha,0.7777777777777778,1,12645.0
27,gamma,0.4444444444444444,2,11425.0
4,gamma,0.4444444444444444,1,10900.0
26,gamma,0.4444444444444444,1,9655.0
1,beta,0.4444444444444444,0,6365.0
9,beta,0.4444444444444444,0,6420.0
13,alpha,0.4444444444444444,1,10227.0
5,gamma,0.4444444444444444,2,15065.0
2,omega,0.4444444444444444,1,7950.0
5,beta,0.4444444444444444,0,8707.0
3,alpha,0.4444444444444444,1,10227.0
18,beta,0.4444444444444444,0,6590.0
51,alpha,0.7777777777777778,1,9707.0
6,alpha,0.3333333333333333,1,8300.0
7,omega,0.4444444444444444,1,9000.0
12,beta,0.8888888888888888,0,9090.0
39,alpha,0.4444444444444444,1,10227.0
19,alpha,0.7777777777777778,1,8290.0
25,alpha,0.0,0,8739.0
7,gamma,0.4444444444444444,2,9525.0
14,alpha,0.0,0,8739.0
12,alpha,0.3333333333333333,1,11245.0
4,alpha,0.3333333333333333,1,9798.0
0,gamma,0.4444444444444444,1,12500.0
4,omega,0.4444444444444444,1,20300.0
5,gamma,0.4444444444444444,1,12500.0
2,alpha,0.7777777777777778,1,9602.0
15,gamma,0.4444444444444444,1,8100.0
10,omega,0.4444444444444444,1,12250.0
108,beta,0.4444444444444444,0,6755.0
4,alpha,0.7777777777777778,1,6995.0
10,gamma,0.7111111111111111,2,9645.0
11,gamma,0.4444444444444444,1,6870.0
19,gamma,0.4444444444444444,2,8500.0
4,alpha,0.4444444444444444,1,14645.0
2,beta,0.8888888888888888,0,10723.0
9,gamma,0.4444444444444444,2,10800.0
0,gamma,0.4444444444444444,1,6900.0
13,gamma,0.4444444444444444,2,8765.0
28,gamma,0.4444444444444444,1,12560.0
6,alpha,0.3333333333333333,1,11245.0
23,alpha,0.3333333333333333,1,9045.0
2,gamma,0.4444444444444444,2,9025.0
2,alpha,0.3333333333333333,1,12945.0
3,gamma,0.4444444444444444,2,15065.0
20,gamma,0.4444444444444444,1,6900.0
20,gamma,0.4444444444444444,2,11285.0
39,gamma,0.4444444444444444,1,10285.0
5,gamma,0.0,0,12175.0
7,gamma,0.4444444444444444,1,9785.0
21,beta,0.4444444444444444,0,9030.0
18,alpha,0.3333333333333333,1,9497.0
15,alpha,0.4444444444444444,1,9799.0
2,gamma,0.4444444444444444,1,7390.0
9,beta,0.8888888888888888,0,9390.0
2,gamma,0.4444444444444444,2,8890.0
19,gamma,0.4444444444444444,2,8390.0
0,beta,0.4444444444444444,0,7382.0
15,beta,0.8888888888888888,0,15780.0
2,alpha,0.3333333333333333,1,8027.0
42,gamma,0.4444444444444444,1,7765.0
15,alpha,0.3333333333333333,1,6531.0
1,beta,0.8888888888888888,0,9160.0
11,alpha,0.4444444444444444,1,14645.0
7,alpha,0.3333333333333333,1,14945.0
13,alpha,0.0,0,8739.0
14,alpha,0.7777777777777778,1,10545.0
1,gamma,0.4444444444444444,1,7640.0
4,alpha,0.3333333333333333,1,11245.0
13,gamma,0.4444444444444444,1,6870.0
52,beta,0.7777777777777778,0,9564.0
25,gamma,0.4444444444444444,2,9145.0
12,beta,0.4444444444444444,0,7382.0
11,alpha,0.3333333333333333,1,12945.0
25,alpha,0.7777777777777778,1,9707.0
25,alpha,0.7777777777777778,1,9235.0
7,gamma,0.4444444444444444,1,9800.0
16,alpha,0.4444444444444444,1,10545.0
9,alpha,0.3333333333333333,1,11245.0
53,alpha,0.7777777777777778,1,10799.0
36,alpha,0.4444444444444444,1,10227.0
80,gamma,0.4444444444444444,1,7765.0
21,beta,0.4444444444444444,0,9030.0
1,alpha,0.7777777777777778,1,14645.0
1,gamma,0.4444444444444444,1,31205.0
10,gamma,0.4444444444444444,2,7620.0
0,alpha,0.7777777777777778,1,9077.0
4,alpha,0.7777777777777778,1,13277.0
7,alpha,0.7777777777777778,1,6995.0
1,gamma,0.4444444444444444,1,10900.0
98,beta,0.4444444444444444,0,7395.0
1,alpha,0.4444444444444444,1,12645.0
14,gamma,0.4444444444444444,2,8765.0
0,alpha,0.3333333333333333,1,13592.0
9,gamma,0.4444444444444444,2,7870.0
25,gamma,0.7111111111111111,1,8650.0
1,omega,0.4444444444444444,1,7950.0
9,gamma,0.4444444444444444,2,10800.0
6,alpha,0.3333333333333333,1,7520.0
8,alpha,0.7777777777777778,1,25345.0
12,alpha,0.7777777777777778,1,7124.0
3,alpha,0.3333333333333333,1,9045.0
3,gamma,0.7111111111111111,1,12500.0
14,alpha,0.4444444444444444,1,10545.0
12,alpha,0.7777777777777778,1,10545.0
24,alpha,0.3333333333333333,1,9045.0
9,gamma,0.4444444444444444,1,7765.0
10,beta,0.8888888888888888,0,9695.0
