iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed
AND,Europe,Andorra,2022-01-20,32201.0,2313.0,471.714,144.0,2.0,0.429
LBN,Asia,Lebanon,2021-09-03,605521.0,1112.0,1077.571,8079.0,9.0,6.286
GBR,Europe,United Kingdom,2021-02-24,4148605.0,9938.0,10487.714,121832.0,442.0,402.0
AUT,Europe,Austria,2020-08-29,26985.0,395.0,274.714,733.0,0.0,0.143
AND,Europe,Andorra,2020-09-25,1836.0,83.0,38.857,53.0,0.0,0.0
BMU,North America,Bermuda,2021-08-10,2645.0,31.0,8.0,33.0,0.0,0.0
BRB,North America,Barbados,2020-06-05,92.0,0.0,0.0,7.0,0.0,0.0
MKD,Europe,North Macedonia,2021-05-01,152581.0,214.0,329.571,4891.0,36.0,34.429
AUS,Oceania,Australia,2021-10-02,111388.0,1872.0,1975.571,1334.0,13.0,14.714
IRQ,Asia,Iraq,2020-10-06,387121.0,4172.0,4118.714,9531.0,67.0,58.429
ARE,Asia,United Arab Emirates,2020-10-17,114387.0,1538.0,1322.0,459.0,4.0,2.286
CHN,Asia,China,2021-10-19,108129.0,45.0,34.857,4636.0,0.0,0.0
WLF,Oceania,Wallis and Futuna,2022-03-13,454.0,0.0,0.0,7.0,0.0,0.0
SEN,Africa,Senegal,2020-11-04,15650.0,10.0,9.714,326.0,0.0,0.571
ZAF,Africa,South Africa,2021-05-27,1649977.0,4422.0,3567.714,56170.0,93.0,86.0
ZWE,Africa,Zimbabwe,2020-04-20,25.0,0.0,1.143,3.0,0.0,0.0
MSR,North America,Montserrat,2021-05-06,20.0,0.0,0.0,1.0,0.0,0.0
ZWE,Africa,Zimbabwe,2021-01-11,22297.0,820.0,924.0,528.0,21.0,20.571
AZE,Asia,Azerbaijan,2020-09-20,39188.0,146.0,123.0,575.0,1.0,1.857
MUS,Africa,Mauritius,2020-12-30,527.0,0.0,0.0,10.0,0.0,0.0
CIV,Africa,Cote d'Ivoire,2021-10-25,61208.0,30.0,19.429,690.0,0.0,0.714
ESP,Europe,Spain,2020-09-02,479554.0,8581.0,8529.286,29194.0,42.0,31.857
TTO,North America,Trinidad and Tobago,2021-05-19,17669.0,519.0,464.571,331.0,14.0,13.714
TTO,North America,Trinidad and Tobago,2022-01-19,102942.0,918.0,638.286,3238.0,14.0,17.0
LTU,Europe,Lithuania,2021-03-16,206290.0,646.0,484.286,3416.0,6.0,10.714
SVN,Europe,Slovenia,2020-11-03,37382.0,1176.0,1682.714,412.0,24.0,21.143
CHE,Europe,Switzerland,2021-06-20,701627.0,0.0,225.143,10764.0,2.0,2.143
CPV,Africa,Cape Verde,2020-09-12,4711.0,60.0,62.286,44.0,0.0,0.286
ZWE,Africa,Zimbabwe,2021-12-13,167140.0,0.0,4013.429,4738.0,0.0,4.0
LUX,Europe,Luxembourg,2021-05-27,69749.0,80.0,40.571,813.0,1.0,0.571
ITA,Europe,Italy,2021-01-12,2303263.0,14242.0,17377.714,79819.0,616.0,498.571
SOM,Africa,Somalia,2021-10-08,20900.0,0.0,131.429,1152.0,0.0,5.857
BEL,Europe,Belgium,2020-03-18,1486.0,243.0,167.429,14.0,4.0,1.571
VNM,Asia,Vietnam,2021-08-03,174461.0,16954.0,8191.429,2071.0,765.0,221.0
BMU,North America,Bermuda,2020-12-03,272.0,5.0,4.429,9.0,0.0,0.0
NOR,Europe,Norway,2021-11-26,257309.0,2942.0,2458.0,1050.0,0.0,7.286
ESP,Europe,Spain,2021-12-24,5718007.0,0.0,37497.143,89019.0,0.0,44.429
DEU,Europe,Germany,2020-05-28,179717.0,353.0,423.571,8411.0,62.0,37.714
UZB,Asia,Uzbekistan,2021-02-14,79416.0,35.0,45.429,622.0,0.0,0.143
MSR,North America,Montserrat,2021-12-27,45.0,0.0,0.0,1.0,0.0,0.0
ERI,Africa,Eritrea,2021-01-07,1445.0,0.0,17.857,3.0,0.0,0.0
TTO,North America,Trinidad and Tobago,2020-10-14,5154.0,27.0,38.143,93.0,0.0,1.286
SYR,Asia,Syria,2021-12-14,49423.0,151.0,88.857,2823.0,9.0,5.0
DMA,North America,Dominica,2022-01-07,7241.0,104.0,61.0,47.0,0.0,0.0
ISL,Europe,Iceland,2021-09-13,11279.0,32.0,30.857,33.0,0.0,0.0
MYS,Asia,Malaysia,2020-06-12,8402.0,33.0,19.429,121.0,2.0,0.571
GBR,Europe,United Kingdom,2020-07-17,293816.0,687.0,730.0,41022.0,26.0,22.286
MDA,Europe,Moldova,2021-02-18,174155.0,1340.0,944.143,3717.0,20.0,15.714
THA,Asia,Thailand,2021-11-21,2064581.0,7006.0,6595.857,20387.0,29.0,50.143
MSR,North America,Montserrat,2021-09-15,31.0,0.0,0.0,1.0,0.0,0.0
IDN,Asia,Indonesia,2021-08-19,3930300.0,22053.0,22306.429,122633.0,1492.0,1281.286
MUS,Africa,Mauritius,2020-05-08,332.0,0.0,0.0,10.0,0.0,0.0
USA,North America,United States,2020-08-30,6009550.0,34131.0,41841.857,182889.0,449.0,906.0
RWA,Africa,Rwanda,2021-03-31,21783.0,138.0,96.714,307.0,1.0,1.429
DMA,North America,Dominica,2021-11-06,4961.0,0.0,25.429,32.0,0.0,0.0
