country,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_cases,tot_cases,created_at
Pakistan,35788,0,770,0,9695,25323,111,162,2020-05-15 02:02:41.000224+00:00
Pakistan,35788,490,770,9,9695,25323,111,162,2020-05-14 04:00:33.601279+00:00
Pakistan,35298,0,761,0,8899,25638,111,160,2020-05-14 01:01:47.983706+00:00
Pakistan,35298,2624,761,37,8899,25638,111,160,2020-05-13 21:01:41.911806+00:00
Pakistan,34336,1662,737,13,8812,24787,111,155,2020-05-13 03:01:26.250601+00:00
Pakistan,32674,0,724,0,8555,23395,111,148,2020-05-13 01:00:36.709199+00:00
Pakistan,32674,1733,724,57,8555,23395,111,148,2020-05-12 12:01:06.057245+00:00
Pakistan,32081,1140,706,39,8555,22820,111,145,2020-05-12 03:00:37.078592+00:00
Pakistan,30941,0,667,0,8212,22062,111,140,2020-05-12 01:03:38.036992+00:00
Pakistan,30941,607,667,8,8212,22062,111,140,2020-05-11 04:02:17.407798+00:00
Pakistan,30334,0,659,0,8063,21612,111,137,2020-05-11 01:02:10.573654+00:00
Pakistan,30334,1598,659,23,8063,21612,111,137,2020-05-10 18:02:57.859251+00:00
Pakistan,30334,1598,659,23,8023,21652,111,137,2020-05-10 17:02:32.249743+00:00
Pakistan,29465,729,639,3,8023,20803,111,133,2020-05-10 04:01:09.036795+00:00
Pakistan,28736,0,636,0,7809,20291,111,130,2020-05-10 01:01:56.343248+00:00
Pakistan,28736,2301,636,37,7809,20291,111,130,2020-05-09 18:02:03.257694+00:00
Pakistan,27474,1039,618,19,7756,19100,111,124,2020-05-09 04:00:37.897230+00:00
Pakistan,26435,0,599,0,7530,18306,111,120,2020-05-09 01:02:13.738410+00:00
Pakistan,26435,1791,599,14,7530,18306,111,120,2020-05-08 13:01:16.658775+00:00
Pakistan,25837,1193,594,9,7530,17713,111,117,2020-05-08 03:02:07.612325+00:00
Pakistan,24644,0,585,0,6464,17595,111,112,2020-05-08 01:01:25.117020+00:00
Pakistan,24644,1430,585,41,6464,17595,111,112,2020-05-07 16:01:59.186401+00:00
Pakistan,24073,859,564,20,6464,17045,111,109,2020-05-07 03:02:57.857073+00:00
Pakistan,23214,0,544,0,6281,16389,111,105,2020-05-07 02:03:10.047427+00:00
Pakistan,23214,1165,544,30,6281,16389,111,105,2020-05-06 19:00:47.034213+00:00
Pakistan,22550,501,526,12,6217,15807,111,102,2020-05-06 03:01:00.854434+00:00
Pakistan,22049,0,514,0,5801,15734,111,100,2020-05-06 01:01:08.166922+00:00
Pakistan,22049,1108,514,38,5801,15734,111,100,2020-05-05 18:02:45.724992+00:00
Pakistan,22048,1107,514,38,5801,15733,111,100,2020-05-05 17:01:10.446682+00:00
Pakistan,21501,560,486,10,5782,15233,111,97,2020-05-05 04:02:44.841555+00:00
Pakistan,20941,0,476,0,5635,14830,111,95,2020-05-05 01:02:57.793011+00:00
Pakistan,20941,857,476,19,5635,14830,111,95,2020-05-04 18:02:34.716279+00:00
Pakistan,20884,800,476,19,5635,14773,111,95,2020-05-04 15:01:55.402101+00:00
Pakistan,20186,102,462,5,5590,14134,111,91,2020-05-04 05:01:01.993900+00:00
Pakistan,20084,0,457,0,5114,14513,111,91,2020-05-04 02:01:11.083025+00:00
Pakistan,20084,1062,457,20,5114,14513,111,91,2020-05-03 16:01:54.721141+00:00
Pakistan,19103,81,440,3,4817,13846,111,86,2020-05-03 02:01:49.305610+00:00
Pakistan,19022,0,437,0,4753,13832,111,86,2020-05-03 01:01:56.839695+00:00
Pakistan,19022,930,437,20,4753,13832,111,86,2020-05-02 19:02:36.149173+00:00
Pakistan,18770,678,432,15,4753,13585,111,85,2020-05-02 16:00:40.974720+00:00
Pakistan,18114,22,417,0,4715,12982,111,82,2020-05-02 02:02:34.138398+00:00
Pakistan,18092,0,417,0,4351,13324,111,82,2020-05-02 01:02:58.152772+00:00
Pakistan,18092,1619,417,56,4351,13324,111,82,2020-05-01 21:01:36.113467+00:00
Pakistan,17699,1226,408,47,4351,12940,111,80,2020-05-01 18:00:36.942028+00:00
Pakistan,17611,1138,406,45,4351,12854,111,80,2020-05-01 17:00:38.095123+00:00
Pakistan,17611,1138,406,45,4315,12890,111,80,2020-05-01 15:02:04.099370+00:00
Pakistan,17439,966,391,30,4315,12733,111,79,2020-05-01 12:02:07.925377+00:00
Pakistan,16817,344,385,24,4315,12117,111,76,2020-05-01 03:02:37.255176+00:00
Pakistan,16473,0,361,0,4105,12007,111,75,2020-05-01 01:02:01.861245+00:00
Pakistan,16473,948,361,18,4105,12007,111,75,2020-04-30 19:01:26.842157+00:00
Pakistan,16117,592,358,15,4105,11654,111,73,2020-04-30 14:02:07.384467+00:00
Pakistan,16117,592,358,15,4052,11707,111,73,2020-04-30 13:01:19.194035+00:00
Pakistan,15759,234,346,3,4052,11361,111,71,2020-04-30 05:03:25.779096+00:00
Pakistan,15525,0,343,0,3425,11757,111,70,2020-04-30 01:01:25.836488+00:00
Pakistan,15525,913,343,31,3425,11757,111,70,2020-04-29 18:00:52.776452+00:00
Pakistan,15289,677,335,23,3425,11529,111,69,2020-04-29 13:01:35.746084+00:00
Pakistan,14885,273,327,15,3425,11133,111,67,2020-04-29 05:02:06.788793+00:00
Pakistan,14612,0,312,0,3233,11067,111,66,2020-04-29 02:02:04.918758+00:00
Pakistan,14612,697,312,20,3233,11067,111,66,2020-04-28 18:01:31.262833+00:00
Pakistan,14514,599,312,20,3233,10969,111,66,2020-04-28 17:01:51.482133+00:00
Pakistan,14079,164,301,9,3233,10545,111,64,2020-04-28 06:00:56.002559+00:00
Pakistan,13915,0,292,0,3029,10594,111,63,2020-04-28 02:01:33.835347+00:00
Pakistan,13915,587,292,11,3029,10594,111,63,2020-04-27 17:02:20.240605+00:00
